baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Omics Group Pair,Probe Name,Gene Symbol,Omics Group 1,Omics Group 2
351.5019498,-0.741584292,0.162563751,-4.596749909,4.29E-06,9.68E-05,121_vs_120,DLAT_1875,DLAT,121,120
80.08803196,-0.817889177,0.326071495,-2.552556545,0.010693555,0.051363421,121_vs_120,DNAJC15_28381,DNAJC15,121,120
97.78024787,-0.304152069,0.216310704,-1.400432993,0.161383696,0.360060438,121_vs_120,DPM2_1947,DPM2,121,120
234.941408,-0.388802363,0.206734781,-1.896921261,0.057838331,0.182278376,121_vs_120,DPY30_18946,DPY30,121,120
19.28725095,-0.632148501,0.511230542,-1.345571705,0.178440682,0.383222116,121_vs_120,DTX3L_23240,DTX3L,121,120
54.68119537,0.71941514,0.321044897,2.353329163,0.018606155,0.078080568,121_vs_120,DUSP11_1981,DUSP11,121,120
301.4210674,-0.562014424,0.235772173,-2.429236163,0.015130673,0.066408385,121_vs_120,DUSP3_1987,DUSP3,121,120
790.0411404,-0.199618642,0.14674047,-1.359541383,0.173975098,0.377973147,121_vs_120,DYNLL1_1997,DYNLL1,121,120
17.99694236,0.746518225,0.491527014,1.584559982,0.113066343,0.28498914,121_vs_120,EAPP_2012,EAPP,121,120
180.9886689,0.496549626,0.204597061,2.466902504,0.013628746,0.060968836,121_vs_120,ECD_2021,ECD,121,120
16.47662924,0.792459023,0.483655712,1.838523466,0.065985307,0.199793487,121_vs_120,ECSCR_20772,ECSCR,121,120
640.8213913,0.420694732,0.180698215,2.366575856,0.017953495,0.075740316,121_vs_120,EIF2S1_2085,EIF2S1,121,120
194.8872434,-0.561366995,0.209897062,-2.719230912,0.006543391,0.035814489,121_vs_120,EIF3K_20430,EIF3K,121,120
364.445627,-0.437599982,0.252836863,-1.713282384,0.086660602,0.237749216,121_vs_120,EMX2_20535,EMX2,121,120
109.2256459,0.4188422,0.300783724,1.340412204,0.18011137,0.384571276,121_vs_120,EPHB2_2194,EPHB2,121,120
174.6302948,-0.579527925,0.243622143,-2.501786766,0.012356832,0.057060894,121_vs_120,ERO1A_2227,ERO1A,121,120
132.4791174,0.649936713,0.241074709,2.710439372,0.006719413,0.036446341,121_vs_120,ETF1_25817,ETF1,121,120
82.56569763,0.621000118,0.381793397,1.742811298,0.081366582,0.229786144,121_vs_120,EXOG_21490,EXOG,121,120
37.60828965,0.702544598,0.356260677,2.012514555,0.044165724,0.149850229,121_vs_120,EXOSC8_21683,EXOSC8,121,120
184.4184979,-0.510021482,0.228197634,-2.247230505,0.0246253,0.096090892,121_vs_120,FAM174A_2316,FAM174A,121,120
22.11265539,-0.71112911,0.575908756,-1.446974454,0.147904079,0.33790502,121_vs_120,FAM57A_2328,FAM57A,121,120
176.0432756,-0.66499636,0.374584089,-1.843001994,0.065328719,0.198565944,121_vs_120,FAM96A_14110,FAM96A,121,120
42.17207765,0.581264567,0.334943032,1.750578168,0.080018599,0.227281693,121_vs_120,FBL_2360,FBL,121,120
642.7266439,-0.574690185,0.206552191,-2.805743307,0.005020067,0.029359411,121_vs_120,FBXO7_2377,FBXO7,121,120
6.00886484,-0.777714731,1.600159302,-1.408107007,0.159099387,0.356334956,121_vs_120,FEN1_2387,FEN1,121,120
316.2084007,0.540527522,0.308074828,1.830171024,0.067224369,0.202010919,121_vs_120,FGF2_2405,FGF2,121,120
181.2326695,0.394378274,0.308409614,1.408812089,0.15889074,0.356201171,121_vs_120,FHL2_2423,FHL2,121,120
43.95968786,0.438506062,0.296592007,1.528542208,0.126377972,0.306588347,121_vs_120,FIG4_20285,FIG4,121,120
25.78044535,0.53234019,0.404104889,1.393511438,0.163465189,0.362630202,121_vs_120,FKBP14_2430,FKBP14,121,120
204.9586036,0.598646874,0.282438042,2.237345454,0.025263771,0.097943175,121_vs_120,FKBP5_19156,FKBP5,121,120
316.6607614,0.525678773,0.277339904,1.909111851,0.056247664,0.178677839,121_vs_120,FLNA_25912,FLNA,121,120
15251.55073,-0.786413608,0.226319075,-3.520845118,0.000430174,0.004051086,121_vs_120,FN1_13666,FN1,121,120
117.9558787,-0.451199269,0.276952604,-1.693768097,0.090309359,0.245198622,121_vs_120,FPGS_27241,FPGS,121,120
748.7648431,0.430288087,0.139599955,3.098208115,0.001946947,0.013778391,121_vs_120,G3BP1_2542,G3BP1,121,120
185.5644503,0.726082067,0.307821606,2.40466686,0.016187215,0.070144596,121_vs_120,GADD45B_2570,GADD45B,121,120
